#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
S00051	00051	1960 IOT	1960 IOT 3	C  V        	A-11 Canister half	A-11	1960 Aug 12	S00050	1960 Aug 12 1001?	Earth	-	O	-	LARCN	US	KAIFW	Echo Canister	-	       5 	 	      5 	 	       5 	 	   0.4 	 	  0.7 	 	    0.7 	 	Dome	1960 Sep 18	    1514	 	    1689	 	 47.20 	 	LEO/I	-	-
S00053	00053	1960 IOT	1960 IOT 5	C  V        	A-11 Canister half	A-11	1960 Aug 12	S00050	1960 Aug 12 1001?	Earth	-	O	-	LARCN	US	KAIFW	Echo Canister	-	       5 	 	      5 	 	       5 	 	   0.4 	 	  0.7 	 	    0.7 	 	Dome	1960 Sep 18	    1512	 	    1705	 	 47.20 	 	LEO/I	-	-
S00085	00085	1961 DEL	1961 DEL 3	C  V        	S-56A Canister part?	-	1961 Feb 16	S00082	1961 Feb 16 1316	Earth	-	O	-	LARCN	US	-	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.0 	 	-	1969 Jul 21	     639	 	    2458	 	 38.87 	 	LEO/I	-	-
S00115	00115	1960 BET	1960 BET 4	C  Y        	Tiros 1 despin weight	Despin weight	1960 Apr  1	S00029	1960 Apr  1 1218	Earth	-	O	-	GSFC	US	RCA	-	-	       1 	?	      1 	?	       1 	?	   3.5 	 	  0.0 	 	    3.5 	 	Cable + Box	1961 Jun 15	     699	 	     809	 	 48.15 	 	LEO/I	-	-
S00119	00119	1961 OMI	1961 OMI 4	D  P        	deb Ablestar 008	-	1961 Jun 29	S00118	1961 Jun 29 0608	Earth	-	O	-	AFSSD	US	-	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.0 	 	-	1961 Sep 11	     785	 	    1008	 	 66.82 	 	LEO/I	-	-
S00120	00120	1961 OMI	1961 OMI 5	D  P        	deb Ablestar 008	-	1961 Jun 29	S00118	1961 Jun 29 0608	Earth	-	O	-	AFSSD	US	-	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.0 	 	-	1961 Sep 11	     796	 	    1025	 	 66.82 	 	LEO/I	-	-
S00121	00121	1961 OMI	1961 OMI 6	D  P        	deb Ablestar 008	-	1961 Jun 29	S00118	1961 Jun 29 0608	Earth	-	O	-	AFSSD	US	-	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.0 	 	-	1961 Sep  8	     839	 	     982	 	 66.74 	 	LEO/I	-	-
S00122	00122	1961 OMI	1961 OMI 7	D  P        	deb Ablestar 008	-	1961 Jun 29	S00118	1961 Jun 29 0608	Earth	-	O	-	AFSSD	US	-	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.0 	 	-	1961 Aug 10	     732	 	     990	 	 66.77 	 	LEO/I	-	-
S00123	00123	1961 OMI	1961 OMI 8	D  P        	deb Ablestar 008	-	1961 Jun 29	S00118	1961 Jun 29 0608	Earth	-	O	-	AFSSD	US	-	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.0 	 	-	1961 Sep 13	     739	 	     990	 	 66.82 	 	LEO/I	-	-
S00124	00124	1961 OMI	1961 OMI 9	D  P        	deb Ablestar 008	-	1961 Jun 29	S00118	1961 Jun 29 0608	Earth	-	O	-	AFSSD	US	-	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.0 	 	-	1961 Oct 28	     818	 	     979	 	 66.65 	 	LEO/I	-	-
