#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
S00001	00001	1957 ALP	1957 ALP 1	R2          	8K71PS No. M1-10 Stage 2	8K71A M1-10 (M1-1PS)	1957 Oct  4	-	1957 Oct  4 1933	Earth	1957 Dec  1 1000?	R	-	OKB1	SU	OKB1	Blok-A	-	    7790 	 	   7790 	 	    7800 	?	  28.0 	 	  2.6 	 	   28.0 	 	Cyl	1957 Oct  4	     214	 	     938	 	 65.10 	 	LLEO/I	-	-
S00002	00002	1957 ALP	1957 ALP 2	P           	1-y ISZ	PS-1	1957 Oct  4	S00001	1957 Oct  4 1933	Earth	1958 Jan  4?	R	-	OKB1	SU	OKB1	PS	-	      84 	 	     84 	 	      84 	 	   0.6 	 	  0.6 	 	    2.9 	 	Sphere + Ant	1957 Oct  4	     214	 	     938	 	 65.10 	 	LLEO/I	-	:RE,:RC
S00003	00003	1957 BET	1957 BET 1	P A         	2-y ISZ	PS-2	1957 Nov  3	A00002	1957 Nov  3 0235	Earth	1958 Apr 14 0200?	AR	-	OKB1	SU	OKB1	PS	-	     508 	 	    508 	 	    8308 	?	   2.0 	 	  1.0 	 	    2.0 	 	Cone	1957 Nov  3	     211	 	    1659	 	 65.33 	 	LEO/I	-	:RE,:RC
S00004	00004	1958 ALP	1958 ALP	P A         	Explorer I	Explorer 1	1958 Feb  1	A00004	1958 Feb  1 0355	Earth	1970 Mar 31 1045?	AR	-	ABMA/JPLA	US	JPLA	Explorer	-	       8 	 	      8 	 	      14 	 	   0.8 	 	  0.1 	 	    0.8 	 	Cyl	1958 Feb  1	     359	 	    2542	 	 33.18 	 	LEO/I	-	:UA,:UB,DEAL I:IA
S00006	00006	1958 GAM	1958 GAM	P A         	Explorer III	Explorer 3	1958 Mar 26	A00005	1958 Mar 26 1745	Earth	1958 Jun 28	AR	-	ABMA/JPLA	US	JPLA	Explorer	-	       8 	 	      8 	 	      14 	 	   0.8 	 	  0.1 	 	    0.8 	 	Cyl	1958 Mar 26	     195	 	    2810	 	 33.38 	 	LEO/I	-	:UA,:UB
S00007	00007	1958 DEL	1958 DEL 1	R2          	8A91 No. B1-1 Stage 2	8K74A	1958 May 15	-	1958 May 15 0705	Earth	1958 Dec  3	R	-	OKB1	SU	OKB1	Blok-A	-	    7790 	 	   7790 	 	    7820 	?	  28.0 	 	  2.6 	 	   28.0 	 	Cyl	1958 May 15	     214	 	    1860	 	 65.18 	 	LEO/I	-	-
S00008	00008	1958 DEL	1958 DEL 2	P           	3-y Sovetskiy ISZ	D No. 2	1958 May 15	S00007	1958 May 15 0706	Earth	1960 Apr  6	R	-	OKB1	SU	OKB1	Object D	-	    1327 	 	   1327 	 	    1327 	 	   3.6 	 	  1.7 	 	    3.6 	 	Cone	1959 May  7	     207	 	    1247	 	 65.12 	 	LEO/I	-	:RE,:RC
S00009	00009	1958 EPS	1958 EPS	P A         	Explorer IV	Explorer 4	1958 Jul 26	A00009	1958 Jul 26 1507	Earth	1959 Oct 23	AR	-	ABMA/JPLA	US	JPLA	Explorer	-	      12 	 	     12 	 	      17 	 	   0.8 	 	  0.1 	 	    0.8 	 	Cyl	1959 Apr 24	     258	 	    2233	 	 50.40 	 	LEO/I	-	:UA,:UB
S00010	00010	1958 ZET	1958 ZET	P A         	SCORE	SCORE	1958 Dec 18	A00015	1958 Dec 18 2306	Earth	1959 Jan 21	AR	-	ARPA/SCEL	US	SCEL	SCORE	-	      68 	 	     68 	 	    3718 	 	   2.5 	?	  1.5 	?	    2.5 	 	Cone	1958 Dec 30	     159	 	    1187	 	 32.29 	 	LEO/I	-	:N,:N
S00013	00013	1959 BET	1959 BET	P A         	Discoverer 1	CORONA Test Vehicle 2	1959 Feb 28	A00017	1959 Feb 28 2156	Earth	1959 Mar  5	AR	-	ARPA/CIA	US	LMSD	CORONA	-	      78 	?	     78 	?	     668 	?	   2.0 	 	  1.5 	 	    2.0 	 	Cone	1959 Feb 28	     163	?	     968	?	 89.70 	 	LLEO/P	-	:C,:CC,FTV 1022:UF,CORONA 1:CA
